transaction_id,consumer_number,account_number,amount,transaction_date,transaction_time,settlement_ref,utr_number,settlement_date,settlement_amount,transaction_status
TXN8001,CN8501,AC8501,4818.21,2026-07-03,14:44:46,SETT2001,UTR2001,2026-07-03,4818.21,SUCCESS
TXN8002,CN8502,AC8502,5974.82,2026-07-05,18:45:31,SETT2002,UTR2002,2026-07-05,5974.82,SUCCESS
TXN8003,CN8503,AC8503,1351.38,2026-07-03,11:03:37,SETT2003,UTR2003,2026-07-03,1351.38,SUCCESS
TXN8004,CN8504,AC8504,4546.55,2026-07-01,13:03:03,SETT2004,UTR2004,2026-07-01,4546.55,SUCCESS
TXN8005,CN8505,AC8505,3712.98,2026-07-05,16:10:03,SETT2005,UTR2005,2026-07-05,3712.98,SUCCESS
TXN8006,CN8506,AC8506,5784.28,2026-07-01,10:04:38,SETT2006,UTR2006,2026-07-01,5784.28,SUCCESS
TXN8007,CN8507,AC8507,873.78,2026-07-07,11:25:07,SETT2007,UTR2007,2026-07-07,873.78,SUCCESS
TXN8008,CN8508,AC8508,5678.78,2026-07-05,11:37:38,SETT2008,UTR2008,2026-07-05,5678.78,SUCCESS
TXN8009,CN8509,AC8509,718.58,2026-07-01,14:42:37,SETT2009,UTR2009,2026-07-01,718.58,SUCCESS
TXN8010,CN8510,AC8510,3608.75,2026-07-03,12:13:42,SETT2010,UTR2010,2026-07-03,3608.75,SUCCESS
TXN8011,CN8511,AC8511,4439.05,2026-07-02,12:25:08,SETT2011,UTR2011,2026-07-02,4439.05,SUCCESS
TXN8012,CN8512,AC8512,4194.3,2026-07-03,15:20:59,SETT2012,UTR2012,2026-07-03,4194.3,SUCCESS
TXN8013,CN8513,AC8513,4635.25,2026-07-01,08:29:39,SETT2013,UTR2013,2026-07-01,4635.25,SUCCESS
TXN8014,CN8514,AC8514,5991.5,2026-07-01,09:34:13,SETT2014,UTR2014,2026-07-01,5991.5,SUCCESS
TXN8015,CN8515,AC8515,3282.37,2026-07-02,13:56:04,SETT2015,UTR2015,2026-07-02,3282.37,SUCCESS
TXN8016,CN8516,AC8516,5335.99,2026-07-03,12:10:28,SETT2016,UTR2016,2026-07-03,5335.99,SUCCESS
TXN8017,CN8517,AC8517,5085.6,2026-07-06,12:39:51,SETT2017,UTR2017,2026-07-06,5085.6,SUCCESS
TXN8018,CN8518,AC8518,4096.87,2026-07-01,18:52:35,SETT2018,UTR2018,2026-07-01,4096.87,SUCCESS
TXN8019,CN8519,AC8519,2146.58,2026-07-06,09:56:08,SETT2019,UTR2019,2026-07-06,2146.58,SUCCESS
TXN8020,CN8520,AC8520,1954.56,2026-07-01,16:09:17,SETT2020,UTR2020,2026-07-01,1954.56,SUCCESS
TXN8021,CN8521,AC8521,2049.66,2026-07-02,13:13:43,SETT2021,UTR2021,2026-07-02,1989.66,SUCCESS
TXN8022,CN8522,AC8522,3988.31,2026-07-03,16:31:16,SETT2022,UTR2022,2026-07-03,3988.31,SUCCESS
TXN8023,CN8523,AC8523,5479.35,2026-07-07,08:05:40,SETT2023,UTR2023,2026-07-07,5479.35,SUCCESS
TXN8024,CN8524,AC8524,2829.67,2026-07-03,08:00:21,SETT2024,UTR2024,2026-07-03,2829.67,SUCCESS
TXN8025,CN8525,AC8525,4741.16,2026-07-06,12:10:47,SETT2025,UTR2025,2026-07-06,4741.16,SUCCESS
TXN8026,CN8526,AC8526,2930.1,2026-07-06,14:35:00,SETT2026,UTR2026X,2026-07-06,2930.1,SUCCESS
TXN8027,CN8527,AC8527,1115.31,2026-07-06,10:34:02,SETT2027,UTR2027,2026-07-06,1115.31,SUCCESS
TXN8028,CN8528,AC8528,5090.27,2026-07-05,16:09:27,SETT2028,UTR2028,2026-07-05,5090.27,SUCCESS
TXN8029,CN8529,AC8529,1200.95,2026-07-03,13:57:59,SETT2029,UTR2029,2026-07-03,1200.95,SUCCESS
TXN8030,CN8530,AC8530,4878.67,2026-07-07,08:57:22,SETT2030,UTR2030,2026-07-07,4878.67,SUCCESS
TXN8031,CN8531,AC8531,1655.42,2026-07-02,18:06:22,SETT2031,UTR2031,2026-07-02,1655.42,SUCCESS
TXN8032,CN8532,AC8532,4790.64,2026-07-07,14:39:47,SETT2032,UTR2032,2026-07-07,4790.64,SUCCESS
TXN8033,CN8533,AC8533,1350.04,2026-07-02,10:51:51,SETT2033,UTR2033,2026-07-02,1350.04,SUCCESS
TXN8034,CN8534,AC8534,1473.79,2026-07-04,08:11:47,SETT2034,UTR2034,2026-07-04,1473.79,SUCCESS
TXN8035,CN8535,AC8535,5584.68,2026-07-07,14:51:42,SETT2035,UTR2035,2026-07-07,5584.68,SUCCESS
TXN8036,CN8536,AC8536,5252.35,2026-07-07,11:17:10,SETT2036,UTR2036,2026-07-07,5252.35,SUCCESS
TXN8037,CN8537,AC8537,4830.56,2026-07-01,14:55:02,SETT2037,UTR2037,2026-07-01,4830.56,SUCCESS
TXN8038,CN8538,AC8538,5222.26,2026-07-02,11:52:58,SETT2038,UTR2038,2026-07-02,5222.26,SUCCESS
TXN8039,CN8539,AC8539,3031.67,2026-07-03,11:14:01,SETT2039,UTR2039,2026-07-03,3031.67,SUCCESS
TXN8040,CN8540,AC8540,4130.18,2026-07-04,13:17:55,SETT2040,UTR2040,2026-07-04,4130.18,SUCCESS
TXN8041,CN8541,AC8541,881.81,2026-07-07,12:22:41,SETT2041,UTR2041,2026-07-07,881.81,SUCCESS
TXN8042,CN8542,AC8542,3301.73,2026-07-06,16:21:01,SETT2042,UTR2042,2026-07-06,3301.73,SUCCESS
TXN9101,CN9101,AC9101,2126.1,2026-07-02,11:26:42,SETT9101,UTR9101,2026-07-04,4225.25,SUCCESS
TXN8044,CN8544,AC8544,710.41,2026-07-05,14:22:46,SETT2044,UTR2044,2026-07-05,710.41,SUCCESS
TXN8045,CN8545,AC8545,4825.35,2026-07-04,17:32:07,SETT2045,UTR2045,2026-07-04,4825.35,FAILED
TXN8046,CN8546,AC8546,2618.57,2026-07-05,11:16:02,SETT2046,UTR2046,2026-07-05,2618.57,SUCCESS
TXN8047,CN8547,AC8547,4398.32,2026-07-01,16:59:51,SETT2047,UTR2047,2026-07-01,4398.32,SUCCESS
TXN8048,CN8548,AC8548,3461.49,2026-07-06,18:12:23,SETT2048,UTR2048,2026-07-06,3461.49,SUCCESS
TXN8049,CN8549,AC8549,2872.14,2026-07-06,13:39:20,SETT2049,UTR2049,2026-07-06,2872.14,SUCCESS
TXN8050,CN8550,AC8550,4148.63,2026-07-01,12:32:19,SETT2050,UTR2050,2026-07-01,4148.63,SUCCESS
